t,cum_regret_linucb_baseline_mean,cum_regret_linucb_baseline_se,cum_regret_alg1_oracle_mean,cum_regret_alg1_oracle_se,cum_regret_fixed_theta_star,cum_regret_fixed_best_bank
276,22.80726252577665,0.0,55.22172269480897,0.0,0.7355514533258343,0.7355514533258343
277,22.920204978243376,0.0,55.624310813944945,0.0,0.7355514533258343,0.7355514533258343
278,23.05551429714305,0.0,56.02898396025798,0.0,0.7355514533258343,0.7355514533258343
279,23.0725641407128,0.0,56.541179789015914,0.0,0.7355514533258343,0.7355514533258343
280,23.096372206500455,0.0,57.40599192961432,0.0,0.7355514533258343,0.7355514533258343
281,23.18266223427118,0.0,57.99509792855683,0.0,0.7355514533258343,0.7355514533258343
282,23.220912763792448,0.0,58.67754157548874,0.0,0.7355514533258343,0.7355514533258343
283,23.221261917703476,0.0,59.15928385034502,0.0,0.7359006072368606,0.7359006072368606
284,23.227898147141463,0.0,59.82787109158857,0.0,0.7359006072368606,0.7359006072368606
285,23.237631984841435,0.0,60.527480905252894,0.0,0.7359006072368606,0.7359006072368606
286,23.237631984841435,0.0,61.05520525887857,0.0,0.7359006072368606,0.7359006072368606
287,23.251748236493746,0.0,61.33719208325101,0.0,0.750016858889171,0.750016858889171
288,23.25346984091375,0.0,61.53587858276114,0.0,0.7517384633091738,0.7517384633091738
289,23.523371576761413,0.0,61.746597334886225,0.0,0.777887133420547,0.777887133420547
290,23.579835686917615,0.0,62.04852295410204,0.0,0.777887133420547,0.777887133420547
291,23.659787614277512,0.0,62.52677022198938,0.0,0.790529220362901,0.790529220362901
292,23.66080480807789,0.0,63.0769971429032,0.0,0.790529220362901,0.790529220362901
293,23.664579210139213,0.0,63.709501224803816,0.0,0.7943036224242209,0.7943036224242209
294,23.802784386001345,0.0,64.09939150358662,0.0,0.806550662494334,0.806550662494334
295,23.821248231443082,0.0,64.39222991275527,0.0,0.806550662494334,0.806550662494334
296,23.83829683630571,0.0,64.69913823285155,0.0,0.806550662494334,0.806550662494334
297,23.855242985116583,0.0,65.11011931378007,0.0,0.806550662494334,0.806550662494334
298,23.888926564256867,0.0,65.6215117413534,0.0,0.8070075656415926,0.8070075656415926
299,23.912673013213997,0.0,66.0484328277549,0.0,0.8225390133138527,0.8225390133138527
300,23.912673013213997,0.0,66.41207779537714,0.0,0.8225390133138527,0.8225390133138527
301,23.913927922278912,0.0,66.8819571271615,0.0,0.8237939223787695,0.8237939223787695
302,23.922708445598925,0.0,67.1916200803295,0.0,0.8237939223787695,0.8237939223787695
303,23.93892304401236,0.0,67.40018069463524,0.0,0.8267308856664738,0.8267308856664738
